numero_siafi;codigo_orgao;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_proponente;cnpj_proponente;valor_pago_financeiro
743649;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;39;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ITAJIBA EIRAS;19.700.269/0001-09;134983,3
743650;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;8;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC RENASCER;19.072.966/0001-62;47192,93
743651;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;437;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC PADRE LOPES;19.664.762/0001-10;38473,0
743652;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;25;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ALICE AUTRAN DOURADO;19.839.729/0001-84;115813,1
743653;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;36;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CE. PIO XII;19.689.637/0001-65;146870,4
743654;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;718;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOSE RIBEIRO DA SILVA;19.646.983/0001-66;45188,0
743655;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;707;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC. GERALDINO RODRIGUES DA CUNHA;19.472.810/0001-79;51744,0
743656;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;34;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX ESC EE DONA ELEONORA PIERUCCETTI;20.672.531/0001-38;89382,2
743657;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1128;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DA EE JOSIAS PINTO;20.018.529/0001-40;86092,0
743658;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;54;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC FELISBERTO ALVES CARREJO;19.921.741/0001-33;187512,73
743659;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;744;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC REINALDO ANDRADE;05.547.892/0001-69;38101,0
743660;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;9;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC MARIA MOREIRA;05.703.498/0001-72;45223,81
743661;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;13;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOAO GUIMARAES ROSA;05.560.085/0001-86;28631,65
743662;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;95;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC VICENTE DE PAULA ROGERIO;22.353.353/0001-08;122310,26
743663;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;15;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC NSA. SRA. DE FATIMA;19.136.613/0001-89;150324,8
743664;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;8;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ANTONIO DA ROSA DE OLIVEIRA;19.554.948/0001-17;48406,87
